	32	64	128	256
1024	0.005365	0.005098	0.005378	0.005125	
4096	0.020776	0.012914	0.020414	0.020252	
16384	0.088076	0.081421	0.082866	0.062474	
65536	0.318711	0.282469	0.257803	0.305383	
262144	1.006627	0.913488	0.889859	1.138671	
1048576	2.253585	2.762809	2.410848	2.747612	
2097152	2.413846	3.530496	4.293149	4.340953	
4194304	3.213313	4.939165	5.781851	5.965096	
8388608	2.098815	3.059482	7.392585	6.616023	
