	8	16	32	64	128	256	512
1024	0.012327	0.026076	0.027535	0.025603	0.026950	0.018554	0.026439	
4096	0.049822	0.104865	0.110860	0.101026	0.061346	0.043309	0.081283	
16384	0.369010	0.271451	0.282960	0.234169	0.222140	0.390071	0.445643	
65536	0.967268	1.347028	1.434340	1.574738	1.557037	1.218886	1.665532	
262144	0.981454	1.050640	1.183205	1.005663	1.240218	1.047458	1.093897	
1048576	1.841692	2.800008	2.407117	3.362361	3.205628	3.240037	3.151610	
2097152	2.248638	3.697245	5.099069	6.038292	5.885612	6.831502	5.952922	
4194304	2.260791	3.372609	6.646222	8.498320	5.347804	8.676152	7.009275	
8388608	1.694965	4.559490	6.893131	10.035854	9.659837	10.080286	11.564920	
