	8	16	32	64	128	256	512
1024	0.027241	0.027011	0.015552	0.027091	0.026400	0.027337	0.027174	
4096	0.100380	0.100813	0.102247	0.104910	0.082308	0.110072	0.100975	
16384	0.372085	0.448072	0.421249	0.377304	0.315623	0.466537	0.317125	
65536	0.768084	1.397203	1.531020	1.537174	1.487963	1.535497	1.232723	
262144	0.925819	0.764184	1.157552	1.423734	1.098610	1.217811	1.134659	
1048576	1.955346	2.563361	3.241175	3.403094	4.211239	3.622796	3.872772	
2097152	2.202952	3.586411	4.920397	6.639774	5.116913	5.805463	5.599403	
4194304	2.400030	4.456318	6.612206	8.638773	8.071806	7.932643	9.060839	
8388608	2.669520	4.795461	7.209347	10.170203	10.940919	11.295908	11.873388	
